,종목코드,상장일,결과
0,071840,2011-06-29,Naver
1,045520,2000-12-05,Naver
2,284740,2018-01-11,Naver
3,192400,2014-08-06,Naver
4,044340,2000-10-24,Naver
5,071460,2016-07-14,Naver
6,021240,2001-08-07,Naver
7,067170,2003-11-14,Naver
8,058610,2002-07-23,Naver
9,002700,1975-09-30,Naver
10,043260,2001-11-29,Naver
11,080470,2006-11-03,Naver
12,066570,2002-04-22,Naver
13,053590,2001-08-23,Naver
14,066130,2003-02-11,Naver
15,086520,2007-07-20,Naver
16,007610,1989-11-30,Naver
17,148140,2017-11-09,Naver
18,069140,2010-10-26,Naver
19,187790,2014-05-08,Naver
20,009440,1994-11-05,Naver
21,042040,2003-01-07,Naver
22,016920,1990-01-04,Naver
23,000640,1970-02-10,Naver
24,298040,2018-07-13,Naver
25,126880,2011-01-31,Naver
26,095190,2007-10-29,Naver
27,011320,1993-12-29,Naver
28,288620,2018-10-15,Naver
29,033530,2002-09-25,Naver
30,011230,1987-05-25,Naver
31,059090,2002-01-15,Naver
32,007720,1994-01-06,Naver
33,012340,1997-02-12,Naver
34,052690,2009-12-14,Naver
35,022100,2000-11-28,Naver
36,034020,2000-10-25,Naver
37,100840,2008-02-22,Naver
38,119650,2010-01-29,Naver
39,093370,2006-12-22,Naver
40,009520,1997-11-10,Naver
41,108230,2009-09-15,Naver
42,005070,1987-09-28,Naver
43,020150,2011-03-04,Naver
44,086520,2007-07-20,Naver
45,222080,2015-09-02,Naver
46,036830,2000-01-18,Naver
47,089980,2011-07-21,Naver
48,001820,1976-06-26,Naver
49,006400,1979-02-27,Naver
50,078600,2004-12-10,Naver
51,096770,2007-07-25,Naver
52,051910,2001-04-25,Naver
53,066970,2003-01-02,Naver
54,243070,2016-06-03,Naver
55,065510,2003-10-31,Naver
56,083550,2005-12-20,Naver
57,034940,1999-08-13,Naver
58,102460,2010-06-10,Naver
59,065950,2003-07-29,Naver
60,045060,2000-08-10,Naver
61,001540,2000-06-15,Naver
62,000250,2000-10-04,Naver
63,000520,1985-05-29,Naver
64,003850,1988-10-24,Naver
65,053030,2001-08-07,Naver
66,012690,1988-10-14,Naver
67,131030,2010-12-03,Naver
68,002720,1975-12-27,Naver
69,001060,1976-06-14,Naver
70,036460,1999-12-15,Naver
71,071320,2010-01-29,Naver
72,004690,1976-12-23,Naver
73,100090,2008-08-01,Naver
74,033500,1997-12-19,Naver
75,096350,2007-12-17,Naver
76,071200,2010-05-26,Naver
77,043100,2000-08-08,Naver
78,032680,1997-07-18,Naver
